Sex	MP	Time
M	Large	54
F	Small	54
F	Small	58
M	Small	53
F	Xact	66
M	Medium	50
M	Xact	79
F	Medium	62
M	Large	42
F	Large	40
F	Small	54
M	Medium	43
M	Large	43
M	Large	44
M	Xact	66
F	Xact	77
M	Medium	47
F	Xact	78
M	Large	59
M	Xact	71
M	Small	55
F	Medium	44
M	Small	48
F	Medium	58
M	Small	63
M	Large	55
F	Medium	39
F	Xact	82
F	Large	49
M	Xact	74
F	Medium	46
M	Small	48
F	Medium	59
M	Medium	53
F	Large	54
F	Xact	99
M	Xact	83
F	Small	61
M	Small	56
F	Xact	84
M	Large	60
F	Medium	57
M	Large	58
